COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"67000","臺南市","67000280","歸仁區",217,3430,17248,5749,17784,7104,7571,42,305,"110Y"
"67000","臺南市","67000290","關廟區",68,1220,7055,2261,8757,4104,5396,21,293,"110Y"
"67000","臺南市","67000300","龍崎區",3,61,486,232,962,738,1005,3,23,"110Y"
"67000","臺南市","67000310","永康區",1461,15727,64375,22765,58164,19138,20472,169,1195,"110Y"
"67000","臺南市","67000320","東區",3052,18571,55700,21804,36997,10077,10257,93,582,"110Y"
"67000","臺南市","67000330","南區",652,7042,31531,10854,31740,13241,14343,401,1121,"110Y"
"67000","臺南市","67000340","北區",1608,10999,35841,13068,29525,9747,11425,162,675,"110Y"
"67000","臺南市","67000350","安南區",661,9767,49544,15106,48060,22429,21898,179,2128,"110Y"
"67000","臺南市","67000360","安平區",557,5132,19462,7112,16764,5312,4505,50,203,"110Y"
"67000","臺南市","67000370","中西區",1069,7358,21370,7995,16759,5515,5788,60,265,"110Y"
"64000","高雄市","64000010","鹽埕區",183,1483,5817,2590,6434,2194,2294,52,130,"110Y"
"64000","高雄市","64000020","鼓山區",1685,12170,38060,15145,32157,9351,9538,544,724,"110Y"
"64000","高雄市","64000030","左營區",1821,15984,55943,23477,48421,12024,11628,270,966,"110Y"
"64000","高雄市","64000040","楠梓區",1081,12602,50973,20672,49660,13120,12583,165,1254,"110Y"
"64000","高雄市","64000050","三民區",2729,25040,91016,38656,84144,25272,25672,315,1637,"110Y"
"64000","高雄市","64000060","新興區",574,4608,14409,6002,11928,3306,3034,46,174,"110Y"
"64000","高雄市","64000070","前金區",379,2503,7819,3294,6496,1789,1903,29,127,"110Y"
"64000","高雄市","64000080","苓雅區",1605,14089,45604,19029,40780,11887,12525,179,905,"110Y"
"64000","高雄市","64000090","前鎮區",986,11681,45568,19742,49870,16532,17656,199,1490,"110Y"
"64000","高雄市","64000100","旗津區",48,843,4975,2095,7695,4402,4383,37,473,"110Y"
"64000","高雄市","64000110","小港區",474,7519,37478,15376,45897,14465,13641,198,2100,"110Y"
"64000","高雄市","64000120","鳳山區",1683,21551,91582,38782,97515,28982,29780,370,2353,"110Y"
"64000","高雄市","64000130","林園區",126,2237,13756,5886,21499,8377,7271,126,1799,"110Y"
"64000","高雄市","64000140","大寮區",248,4107,23923,10359,36277,12535,11489,176,1575,"110Y"
"64000","高雄市","64000150","大樹區",113,1507,8653,3446,13001,5199,4448,55,1040,"110Y"
